,RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
16067,308,517,SCO,FERGUSON Alex (SCO),N,18,Graeme SHARP
16068,308,517,DEN,PIONTEK Sepp (GER),N,20,Jan BARTRAM
16069,308,517,SCO,FERGUSON Alex (SCO),N,21,David COOPER
16070,308,517,DEN,PIONTEK Sepp (GER),N,21,Henrik ANDERSEN
16071,308,517,SCO,FERGUSON Alex (SCO),N,22,Alan ROUGH
16072,308,517,DEN,PIONTEK Sepp (GER),N,22,Lars HOGH
16073,308,585,URU,BORRAS Omar (URU),S,12,Fernando ALVEZ
16074,308,585,FRG,BECKENBAUER Franz (GER),S,1,Harald SCHUMACHER
16075,308,585,URU,BORRAS Omar (URU),S,2,Nelson GUTIERREZ
16076,308,585,FRG,BECKENBAUER Franz (GER),S,2,Hans Peter BRIEGEL
16077,308,585,URU,BORRAS Omar (URU),S,3,Eduardo ACEVEDO
16078,308,585,FRG,BECKENBAUER Franz (GER),S,3,Andreas BREHME
16079,308,585,URU,BORRAS Omar (URU),S,4,Victor DIOGO
16080,308,585,FRG,BECKENBAUER Franz (GER),S,4,Karl Heinz FOERSTER
16081,308,585,URU,BORRAS Omar (URU),S,5,Miguel BOSSIO
16082,308,585,FRG,BECKENBAUER Franz (GER),S,6,Norbert EDER
16083,308,585,URU,BORRAS Omar (URU),S,6,Jose BATISTA
16084,308,585,FRG,BECKENBAUER Franz (GER),S,8,Lothar MATTHAEUS
16085,308,585,URU,BORRAS Omar (URU),S,7,Antonio ALZAMENDI
16086,308,585,FRG,BECKENBAUER Franz (GER),S,9,Rudi VOELLER
16087,308,585,URU,BORRAS Omar (URU),S,8,Jorge BARRIOS
16088,308,585,FRG,BECKENBAUER Franz (GER),S,10,Felix MAGATH
16089,308,585,URU,BORRAS Omar (URU),S,9,Jorge DA SILVA
16090,308,585,FRG,BECKENBAUER Franz (GER),S,14,Thomas BERTHOLD
16091,308,585,URU,BORRAS Omar (URU),S,10,Enzo FRANCESCOLI
16092,308,585,FRG,BECKENBAUER Franz (GER),S,15,Klaus AUGENTHALER
16093,308,585,URU,BORRAS Omar (URU),S,11,Sergio SANTIN
16094,308,585,FRG,BECKENBAUER Franz (GER),S,19,Klaus ALLOFS
16095,308,585,URU,BORRAS Omar (URU),N,1,Rodolf RODRIGUEZ
16096,308,585,FRG,BECKENBAUER Franz (GER),N,5,Matthias HERGET
16097,308,585,URU,BORRAS Omar (URU),N,13,Cesar VEGA
16098,308,585,FRG,BECKENBAUER Franz (GER),N,7,Pierre LITTBARSKI
16099,308,585,URU,BORRAS Omar (URU),N,14,Alfonso PEREIRA
16100,308,585,FRG,BECKENBAUER Franz (GER),N,11,Karl-Heinz RUMMENIGGE
16101,308,585,URU,BORRAS Omar (URU),N,15,Eliseo RIVERO
16102,308,585,FRG,BECKENBAUER Franz (GER),N,12,Ulrich STEIN
16103,308,585,URU,BORRAS Omar (URU),N,16,Mario SARALEGUI
16104,308,585,FRG,BECKENBAUER Franz (GER),N,13,Karl ALLGOEWER
16105,308,585,URU,BORRAS Omar (URU),N,17,Jose ZALAZAR
16106,308,585,FRG,BECKENBAUER Franz (GER),N,16,Olaf THON
16107,308,585,URU,BORRAS Omar (URU),N,18,Ruben PAZ
16108,308,585,FRG,BECKENBAUER Franz (GER),N,17,Ditmar JAKOBS
16109,308,585,URU,BORRAS Omar (URU),N,19,Venancio RAMOS
16110,308,585,FRG,BECKENBAUER Franz (GER),N,18,Uwe RAHN
16111,308,585,URU,BORRAS Omar (URU),N,20,Carlos AGUILERA
16112,308,585,FRG,BECKENBAUER Franz (GER),N,20,Dieter HOENESS
16113,308,585,URU,BORRAS Omar (URU),N,21,Wilmar CABRERA
16114,308,585,FRG,BECKENBAUER Franz (GER),N,21,Wolfgang ROLFF
16115,308,585,URU,BORRAS Omar (URU),N,22,Celso OTERO
16116,308,585,FRG,BECKENBAUER Franz (GER),N,22,Eike IMMEL
16117,308,394,ITA,BEARZOT Enzo (ITA),S,1,Giovanni GALLI
16118,308,394,ARG,BILARDO Carlos (ARG),S,18,Nery PUMPIDO
16119,308,394,ITA,BEARZOT Enzo (ITA),S,2,Giuseppe BERGOMI
16120,308,394,ARG,BILARDO Carlos (ARG),S,2,Sergio BATISTA
16121,308,394,ITA,BEARZOT Enzo (ITA),S,3,Antonio CABRINI
16122,308,394,ARG,BILARDO Carlos (ARG),S,4,Claudio BORGHI
16123,308,394,ITA,BEARZOT Enzo (ITA),S,6,Gaetano SCIREA
16124,308,394,ARG,BILARDO Carlos (ARG),S,5,Jose BROWN
16125,308,394,ITA,BEARZOT Enzo (ITA),S,8,Pietro VIERCHOWOD
16126,308,394,ARG,BILARDO Carlos (ARG),S,7,Jorge BURRUCHAGA
16127,308,394,ITA,BEARZOT Enzo (ITA),S,10,Salvatore BAGNI
16128,308,394,ARG,BILARDO Carlos (ARG),S,9,Jose CUCIUFFO
16129,308,394,ITA,BEARZOT Enzo (ITA),S,13,Fernando DE NAPOLI
16130,308,394,ARG,BILARDO Carlos (ARG),S,10,Diego MARADONA
16131,308,394,ITA,BEARZOT Enzo (ITA),S,14,Antonio DI GENNARO
16132,308,394,ARG,BILARDO Carlos (ARG),S,11,Jorge VALDANO
16133,308,394,ITA,BEARZOT Enzo (ITA),S,16,Bruno CONTI
16134,308,394,ARG,BILARDO Carlos (ARG),S,13,Oscar GARRE
16135,308,394,ITA,BEARZOT Enzo (ITA),S,18,Alessandro ALTOBELLI
16136,308,394,ARG,BILARDO Carlos (ARG),S,14,Ricardo GIUSTI
16137,308,394,ITA,BEARZOT Enzo (ITA),S,19,Giuseppe GALDERISI
16138,308,394,ARG,BILARDO Carlos (ARG),S,19,Oscar RUGGERI
16139,308,394,ITA,BEARZOT Enzo (ITA),N,4,Fulvio COLLOVATI
16140,308,394,ARG,BILARDO Carlos (ARG),N,1,Sergio ALMIRON
16141,308,394,ITA,BEARZOT Enzo (ITA),N,5,Sebastiano NELA
16142,308,394,ARG,BILARDO Carlos (ARG),N,3,Ricardo BOCHINI
16143,308,394,ITA,BEARZOT Enzo (ITA),N,7,Roberto TRICELLA
16144,308,394,ARG,BILARDO Carlos (ARG),N,6,Daniel PASSARELLA
16145,308,394,ITA,BEARZOT Enzo (ITA),N,9,Carlo ANCELOTTI
16146,308,394,ARG,BILARDO Carlos (ARG),N,8,Nestor CLAUSEN
