,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Position_x,Country_x,Image_x,Position_y,Country_y,Image_y
348,2014,Nigeria,2,3,Argentina, ,44.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
349,2014,"rn"">Bosnia and Herzegovina",3,1,IR Iran, ,,,,37.0,IR Iran,https://api.fifa.com/api/v1/picture/flags-sq-4/irn
350,2014,Honduras,0,3,Switzerland, ,30.0,Honduras,https://api.fifa.com/api/v1/picture/flags-sq-4/hon,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
351,2014,Ecuador,0,0,France, ,28.0,Ecuador,https://api.fifa.com/api/v1/picture/flags-sq-4/ecu,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra
352,2014,USA,0,1,Germany, ,14.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
353,2014,Portugal,2,1,Ghana, ,3.0,Portugal,https://api.fifa.com/api/v1/picture/flags-sq-4/por,38.0,Ghana,https://api.fifa.com/api/v1/picture/flags-sq-4/gha
354,2014,Korea Republic,0,1,Belgium, ,,,,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel
355,2014,Algeria,1,1,Russia, ,25.0,Algeria,https://api.fifa.com/api/v1/picture/flags-sq-4/alg,18.0,Russia,https://api.fifa.com/api/v1/picture/flags-sq-4/rus
356,2014,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,13.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
357,2014,Colombia,2,0,Uruguay, ,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col,6.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru
358,2014,France,2,0,Nigeria, ,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,44.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga
359,2014,Brazil,2,1,Colombia, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col
360,2014,France,0,1,Germany, ,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
361,2014,Brazil,1,7,Germany, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
362,2014,Brazil,0,3,Netherlands, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
363,2014,Germany,1,0,Argentina,Germany win after extra time ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
364,2014,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
365,2014,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc
366,2014,Argentina,1,0,Belgium, ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel
367,2014,Netherlands,2,1,Mexico, ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,19.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
368,2014,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,10.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
369,2014,Argentina,1,0,Switzerland,Argentina win after extra time ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
370,2014,Belgium,2,1,USA,Belgium win after extra time ,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,14.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa
371,2014,Brazil,1,1,Chile,Brazil win on penalties (3 - 2) ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,13.0,Chile,https://api.fifa.com/api/v1/picture/flags-sq-4/chi
372,2014,Colombia,2,0,Uruguay, ,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col,6.0,Uruguay,https://api.fifa.com/api/v1/picture/flags-sq-4/uru
373,2014,Netherlands,2,1,Mexico, ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,19.0,Mexico,https://api.fifa.com/api/v1/picture/flags-sq-4/mex
374,2014,Costa Rica,1,1,Greece,Costa Rica win on penalties (5 - 3) ,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc,10.0,Greece,https://api.fifa.com/api/v1/picture/flags-sq-4/gre
375,2014,France,2,0,Nigeria, ,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,44.0,Nigeria,https://api.fifa.com/api/v1/picture/flags-sq-4/nga
